title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
padmaavat,2018,"Rani Padmavati (aka Padmini) is said to be one of the most beautiful women to ever exist. This real-life story is the epitome of love and sacrifice between Rajput Queen Padmavati and Rana Rawal Ratan Singh, the Rajput ruler of Mewar. Their perfect life takes an unfortunate turn when Allauddin Khilji's lustful eyes gaze upon Queen Padmavati. Alauddin Khilji is known as one of the most brutal rulers of the Khilji dynasty, ascending to the throne by killing his father-in-law, his brothers-in-law, and their uncles. He was known for attacking states only for their land and women. Indeed, the motive behind the attack on Mewar is none other than royal Rani Padmavati.",set medieval rajasthan queen padmavati married noble king live prosperous fortress subject ambitious sultan hears padmavati beauty form obsessive love queen mewar,drama history romance war,tt5935704,E_YaXDDbOQQ,7.0,Sanjay Leela Bhansali,drama history romance war
on chesil beach,2017,"Adapted by Ian McEwan from his bestselling novel, the drama centers on a young couple of drastically different backgrounds in the summer of 1962. Following the pair through their idyllic courtship, the film explores sex and the societal pressure that can accompany physical intimacy, leading to an awkward and fateful wedding night. The film stars Saoirse Ronan, Billy Howle, Anne-Marie Duff, Adrian Scarborough, Emily Watson, and Samuel West.",based ian mcewan novel 1962 england young couple find idyllic romance colliding issue sexual freedom societal pressure leading awkward fateful wedding night,drama romance,tt1667321,ZR6DWDfMDlM,6.4,Dominic Cooke,drama romance
blood ransom,2014,"Crystal, the girlfriend of Roman, Jeremiah's American boss whom he kidnaps. As Jeremiah's plans fail, Roman sends Bill, a psychopathic hitman after them. Crystal and Jeremiah tread the dangerous path of a love on the run. But as they run farther and as they fall deeper, a dark secret burns even stronger.",young woman fight monster becoming save life man love,fantasy romance thriller,tt2173248,5AvO_XKgvSo,5.5,Francis dela Torre,fantasy romance thriller
comedy central roast of bruce willis,2018,"Traditional comedy 'roast' where celebrities, comics and friends poke fun at actor Bruce Willis.",traditional comedy roast celebrity comic friend poke fun actor bruce willis,comedy,tt8301054,6BEu38CU8ZQ,6.7,Joel Gallen,comedy
first reformed,2017,"Forty-six year old Reverend Ernst Toller is the pastor at the historic First Reformed Church in upstate New York. It is seen as the ""tourist"" church or the ""souvenir shop"" (its historical significance partly it being a stop on the underground railroad before the slaves crossed into Canada) by Abundant Life, which owns the church and which operates a modern self-named five thousand seat church overseen by Reverend Joel Jeffers. First Reformed is celebrating its two hundred fiftieth anniversary this year, for which a major event is planned, modest in size only at First Reformed itself although the dignitaries like the governor and mayor will be at attendance there, while the event will be simulcast at Abundant Life. Most of the speech-making will be done by local industrialist Ed Balq, a major benefactor of Abundant Life and who is the major donor for the necessary upgrades at First Reformed to be able to hold the event there, and for the event itself, while Toller's participation will ...",priest small congregation upstate new york grapple mounting despair brought tragedy worldly concern tormented past,drama thriller,tt6053438,EC0TIg0wPhw,7.7,Paul Schrader,drama thriller
the incantation,2018,"In this picturesque paranormal thriller, a young American girl, Lucy Bellerose (Sam Valentine), has a chance of a lifetime to visit her ancestors ominous castle in the south of France. However, things are not as they seem as she finds that her family is hiding deep, dark secrets about their nefarious past, far away from prying eyes. Unbeknownst to Lucy, the region is also home to centuries of witchcraft and occult folklore. After meeting the strident Vicar of Borley and her socially awkward Chambermaid, Mary, Lucy begins to question her place in the family. Abel Baddon, a devilishly handsome traveling salesman, (Dean Cain ""Lois and Clark: The New Adventures of Superman""), tries to assuage her fears and soothe her reluctance. However, only after meeting a charming gravedigger named J.P. (Dylan Kellogg) does she begin to feel at ease. He navigates her through the twists and turns of the murky waters of her family's past, eventually uncovering shocking revelations.",young american girl chance lifetime visit ancestor castle south france find family hiding deep dark secret nefarious past far away prying eye,adventure fantasy horror mystery thriller,tt5361596,_EARmKIxjxQ,5.7,Jude S. Walko,adventure fantasy horror mystery thriller
the late bloomer,2016,"The story of an adult male who, after the successful removal of a benign tumor resting against his pituitary gland, experiences all the changes and effects of puberty over a three-week period.",story adult male successful removal benign tumor resting pituitary gland experience change effect puberty three week period,comedy drama romance,tt1588878,lThdKt9aXyM,5.2,Kevin Pollak,comedy drama romance
spectral,2016,Civil Unrest in the European country of Moldova has US forces engaging the insurgents however there is a new threat who has decided both are their enemy. This new threat resides in an alternative spectrum that makes them invisible to the naked eye and instant death to anyone confronting them. Locals believe they are Spirits of War but others believe they are superior arms technology fabricated by the Moldova government..,sci thriller story centered special ops team dispatched fight supernatural being,action mystery sci-fi thriller,tt2106651,rmC3ZhIHHi4,6.3,Nic Mathieu,action mystery sci-fi thriller
shaolin soccer,2001,"After a fateful mistake costing his career, an ex-soccer player bum meets a shaolin kung fu student trying to spread the word of kung fu. The ex-soccer player helps reconcile with his five brothers, and teaches them soccer, adding shaolin kung fu as a twist.",young shaolin follower reunites discouraged brother form soccer team using martial art skill advantage,action comedy sport,tt0286112,bREfcVPssiE,7.3,Stephen Chow,action comedy sport
justice league: the flashpoint paradox,2013,"An alteration of the timeline for the superhero, The Flash. The Flash must team with other heroes to restore the timeline while the Earth is ravaged by a war between Aquaman's Atlantis and Wonder Woman's Amazons.",flash find war torn alternate timeline team alternate version fellow hero return home restore timeline,action adventure animation fantasy sci-fi,tt2820466,xe0JiobQ98o,8.2,Jay Oliva,action adventure animation fantasy sci-fi
the handmaiden,2016,"1930s Korea, in the period of Japanese occupation, a new girl (Sookee) is hired as a handmaiden to a Japanese heiress (Hideko) who lives a secluded life on a large countryside estate with her domineering Uncle (Kouzuki). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",woman hired handmaiden japanese heiress secretly involved plot defraud,crime drama mystery romance thriller,tt4016934,whldChqCsYk,8.1,Chan-wook Park,crime drama mystery romance thriller
the babysitter,2017,"Cole (Judah Lewis) loves his babysitter (Samara Weaving) Bee. She's hot, funny, and popular. One night, in a moment of defiance, Cole secretly stays up past his bedtime to discover she's actually a cold-blooded killer who's in league with the Devil. He now must spend his night evading Bee's band of killers who will stop at nothing to prevent Cole from spilling their dark secret. It's up to Cole to survive the night (and blow up a few people along the way).",event one evening take unexpected turn worst young boy trying spy babysitter,comedy horror,tt4225622,6qCqrODw1nM,6.3,McG,comedy horror
downfall,2004,"In April of 1945, Germany stands at the brink of defeat with the Soviet Armies closing in from the west and south. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his Generals and advisers to fight to the last man. ""Downfall"" explores these final days of the Reich, where senior German leaders (such as Himmler and Goring) began defecting from their beloved Fuhrer, in an effort to save their own lives, while still others (Joseph Goebbels) pledge to die with Hitler. Hitler, himself, degenerates into a paranoid shell of a man, full of optimism one moment and suicidal depression the next. When the end finally does comes, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",traudl junge final secretary adolf hitler tell nazi dictator final day berlin bunker end wwii,biography drama history war,tt0363163,Bp1RXmM1-60,8.2,Oliver Hirschbiegel,biography drama history war
avengers: infinity war,2018,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe,action adventure fantasy sci-fi,tt4154756,6ZfuNTqbHE8,8.7,Anthony Russo,action adventure fantasy sci-fi
brain on fire,2016,"The film follows the harrowing experience of a writer struggling with a rare neurological disease from when she first suffers symptoms to the many attempts at diagnosing it and the eventual discovery of the real cause of her illness. Based on the book, 'Brain On Fire', the true story of Susannah Cahalan, a journalist for the New York Times.",young capable professional explain newly erratic behavior,biography drama,tt3704700,e87x_slO544,6.6,Gerard Barrett,biography drama
almost adults,2016,A film about growing apart when growing up. Two best friends relationship strains when one deals with her newfound sexuality and the other with breaking up with her long term boyfriend.,film growing apart growing two best friend relationship strain one deal newfound sexuality breaking long term boyfriend,comedy drama,tt4686862,dhqM81SVXt4,5.7,Sarah Rotella,comedy drama
renegades,2017,A team of Navy SEALs discover an underwater treasure in a Bosnian lake.,team navy seal discover underwater treasure bosnian lake,action adventure crime drama thriller,tt4106376,Bl8INGEnrbQ,5.4,Steven Quale,action adventure crime drama thriller
radius,2017,"Liam wakes from a car crash with no memory of who he is. As he makes his way into town to look for help, he finds only dead bodies, all with strange pale eyes. Liam's first assessment is that a virus is present in the air, but he soon discovers a horrible truth...",man wake amnesia find people mysteriously dead,sci-fi thriller,tt6097798,NExqMxRRM64,6.2,Caroline Labrèche,sci-fi thriller
lage raho munna bhai,2006,"A hilarious underworld gangster known as Munna Bhai falls comically in love with a radio host by the name of Jahnvi, who runs an elders' home, which is taken over by an unscrupulous builder, who gets the residents kicked out ironically with the help of Munna's sidekick, Circuit, while Munna is busy romancing Jahnvi elsewhere. Munna, who is now masquerading as a Professor specializing in the life of Mahatma Gandhi, must now battle his very own forces and the builder - but he has one ally on his side - none other than the great man - Mahatma Gandhi himself. Only trouble is that Munna may have problems convincing everyone about this presence - as he is apparently is the only one who can see and hear him.",munna bhai embarks journey mahatma gandhi order fight corrupt property dealer,comedy drama fantasy romance,tt0456144,OE6f1oHgeDg,8.1,Rajkumar Hirani,comedy drama fantasy romance
andover,2018,"A genetics professor clones his dead wife, over and over, in a desperate attempt to get her back exactly as she was.",genetics professor clone dead wife desperate attempt get back exactly,comedy drama romance sci-fi,tt5605076,YFvNFD3CXas,7.1,Scott Perlman,comedy drama romance sci-fi
kaala,2018,"The people who had migrated from Tirunelveli District of Tamil Nadu live in Dharavi slum in Mumbai. The Union Minister Haridev Abhayankar alias Hari Dada (Nana Patekar), previously a gangster, tries to evict people and seize the land of Dharavi. He comes up with a plan of promising furnished homes to people through a Government scheme with the help of Vishnu Bhai (Sampath Raj). But Karikaalan alias Kaala (Rajinikanth), the leader of Dharavi, stands in his way to protect the area. Zareena, ex-girlfriend of Kaala, returns from Africa as the head of an NGO to improve the living standards in Dharavi. Hari Dada's failed attempts to kill Kaala in order to take control over the area leads to the death of Kaala's wife (Easwari Rao) and elder son Selvam (Dileepan). Kaala encourages people of Dharavi to protest in spite of Hari Dada constantly creating problems for them. How Kaala protected the area against the will of the powerful politician to seize it forms the rest of the story.",kaala life nellai tirunelveli based tamil live large number mumbai,action drama,tt6929642,pSnMt6h6zk0,7.3,Pa. Ranjith,action drama
bad samaritan,2018,A pair of burglars stumble upon a woman being held captive in a home they intended to rob.,pair burglar stumble upon woman held captive home intended rob,horror thriller,tt3203528,Ef4bYRfwgQ0,6.3,Dean Devlin,horror thriller
a futile and stupid gesture,2018,"An old version of humorist Douglas Kenney tells the story of how he and Henry Beard parleyed their success in their campus magazine, Harvard Lampoon, into the commercial magazine, National Lampoon. Drawing upon their checkered lives and an aggressively puckish sense of humor, the pair created a publication that would redefine American comedy with outrageous drollery that grabbed the zeitgeist of the decade that expanded across various media. Unfortunately, for all his success, Doug Kenney with his overhanging insecurities, ego and irresponsible appetites began to consume him until he alienates everyone who ever cared and supported him even as they imitated him. In the end, this iconoclastic funnyman would come to a tragedy that comes when your comedy doesn't have enough distance.",1970s 80 national lampoon success influence creates new medium empire overseen part brilliant troubled douglas kenney,biography comedy,tt5566790,33dztfqRu_k,6.8,David Wain,biography comedy
the guernsey literary and potato peel pie society,2018,"A correspondence begins between Juliet Ashton and members of The Guernsey Literary and Potato Peel Pie Society, with them sharing their experiences of Nazi Occupied Guernsey. When an idea for a book catches Juliet she goes to visit the island, making lifelong friends and taking life changing steps along the way. This book is told by way of letters and as the reader, you become enchanted by the writers of them and the love Juliet comes to feel for each of the Islanders; Dawsey, Amelia, Isola, Eben, Kit and Elizabeth. A beautiful story of love, friendship and the sadness of friends lost.",aftermath world war writer form unexpected bond resident guernsey island decides write book experience war,drama history romance,tt1289403,HTDNGv61-Dk,7.0,Mike Newell,drama history romance
creature designers - the frankenstein complex,2015,"From King Kong to Avatar, from Star Wars to The Lord of the Rings, movie creatures have never been more popular as they are today. Yet the art of creating monsters for the big screen is as old as cinema itself.",king kong avatar star war lord ring movie creature never popular today yet art creating monster big screen old cinema,documentary,tt5253754,36y2QRxGigw,7.3,Gilles Penso,documentary
journeyman,2017,"Matty Burton is the middleweight boxing champion of the world. Now, coming towards the end of his career, he knows that he must make his money and get out of the game. His aim is to secure a home with his wife Emma, and a future for their baby daughter Mia. After a titanic battle against Andre 'The Future' Bryte, Matty returns home to Emma, but moments later collapses on the living room floor from a delayed reaction to a devastating punch. When Matty awakes from the coma, the real fight begins. Suffering from memory loss and with his personality altered, Matty must begin to piece his life back together as his world disintegrates.",boxer matty burton suffers serious head injury fight impact marriage life family,drama sport,tt5314118,KCKQ9bVO4w4,7.4,Paddy Considine,drama sport
one on one,2014,"One on One: After a high school student is murdered, the seven suspects are hunted down by members of a terrorist organization.",one one high school student murdered seven suspect hunted member terrorist organization,crime drama thriller,tt3696126,1ONk-5fIKiI,5.7,Ki-duk Kim,crime drama thriller
the miracle season,2018,"After the tragic death of star volleyball player Caroline ""Line"" Found, a team of dispirited high school girls must band together under the guidance of their tough-love coach in hopes of winning the state championship.",tragic death star volleyball player caroline quot line quot found team dispirited high school girl must band together guidance tough love coach hope winning state championship,drama sport,tt5427194,Bt_RYJdjyRM,6.3,Sean McNamara,drama sport
the second,2018,"The persona of a celebrated author is threatened when her best friend and muse reveals the dark secret behind her first novel's provenance, igniting an incendiary tale of sex, lies and betrayal.",persona celebrated author threatened best friend muse reveals dark secret behind first novel provenance igniting incendiary tale sex lie betrayal,mystery thriller,tt5636922,vjNVirPLT5I,5.1,Mairi Cameron,mystery thriller
son of batman,2014,"Ra's AL Ghul is dead, slain by former League of Assassin Slade Wilson, aka Deathstroke. His victory is not without a cost, the price his right eye; taken by Ra's own grandson Damien. Fearing for her sons' safety Talia AL Ghul decides now is the time for the boy to meet his father. Half a world away a trail of chemical plant heists finds the Batman catching the culprit in the very act. The thief is Killer Croc, but Croc has changed mutated by some unseen hand. With the shocking appearance of the lovely but deadly Talia, Croc is quickly taken down. Back at Gotham harbor Talia gives the Detective the news of Ra's fate along with the surprise of introducing him to Damien, their son. Talia sets out to handle Slade while Damien falls under the guardianship of Batman. The young man possess great fighting prowess but his cocky self confidence creates friction back at Wayne Manor. Batman's investigation into Croc's actions leads him to the home of Dr. Kirk Langstrom, creator of the Man-bat ...",batman learns violent unruly pre teen son secretly raised terrorist group league assassin,action adventure animation crime drama,tt3139072,bis7XOu0Xms,6.7,Ethan Spaulding,action adventure animation crime drama
gerald's game,2017,"When a harmless game between a married couple in a remote retreat suddenly becomes a harrowing fight for survival, wife Jessie must confront long-buried demons within her own mind - and possibly lurking in the shadows of her seemingly empty house.",trying spice marriage remote lake house jessie must fight survive husband dy unexpectedly leaving handcuffed bed frame,drama horror thriller,tt3748172,twbGU2CqqQU,6.6,Mike Flanagan,drama horror thriller
just like heaven,2005,"Elizabeth Masterson, a dedicated doctor in San Francisco, had almost no time for anything. When her sister with two kids set her up on a date, she gets into a tragic car crash and goes into a coma. Meanwhile, a landscape architect named David Abbott moves to San Francisco and, coincidentally, into Elizabeth's apartment for rent. While at the apartment, Elizabeth's spirit haunts him. She doesn't remember who she is, who her family is or what she did - All that she remembered was her apartment and where everything was. To settle the arguments, David agrees to figure out who Elizabeth really is. When they get close to figuring out who she is, they eventually find love with one another and as they finally know who she really is, they learn that fate really has put them both together.",lonely landscape architect fall spirit beautiful woman used live new apartment,comedy fantasy romance,tt0425123,cgIS8Vfp1MU,6.7,Mark Waters,comedy fantasy romance
big game,2014,"When Air Force One is shot down by terrorists leaving the President of the United States stranded in the wilderness, there is only one person around who can save him - a 13-year old boy called Oskari. In the forest on a hunting mission to prove his maturity to his kinsfolk, Oskari had been planning to track down a deer, but instead discovers the most powerful man on the planet in an escape pod. With the terrorists closing in to capture their own ""Big Game"" prize, the unlikely duo must team up to escape their hunters. As anxious Pentagon officials observe the action via satellite feed, it is up to the President and his new side-kick to prove themselves and survive the most extraordinary 24 hours of their lives.",young teenager camping wood help rescue president united state air force one shot near campsite,action adventure,tt2088003,vR-0mwLXiow,5.4,Jalmari Helander,action adventure
deadpool 2,2018,"After losing the love of his life, 4th wall-breaking mercenary Wade Wilson aka Deadpool (Ryan Reynolds) must protect Russel (Julian Dennison) must assemble a team of mutants and protect Russel from Cable (Josh Brolin), a no-nonsense, dangerous cyborg from the future and Deadpool must learn the most important lesson of all, to be part of a family again.",foul mouthed mutant mercenary wade wilson aka deadpool brings together team fellow mutant rogue protect young boy supernatural ability brutal time traveling cyborg cable,action adventure comedy sci-fi,tt5463162,Z5ezsReZcxU,8.0,David Leitch,action adventure comedy sci-fi
common wealth,2000,"Julia finds 300 million pesetas hidden in a dead man's house while selling an apartment. She's a 40-ish real estate agent now forced to face the wrath of a very peculiar community (of neighbors), headed by an unscrupulous administrator. Black humor gives way to suspense, closely followed by horror that doesn't take long in coming to a head in undisguised pandemonium.",accidental discovery big fortune hidden apartment deceased man fill heart real estate agent greed dream luxurious life neighbour think otherwise,comedy crime horror mystery thriller,tt0255067,xxogD57zp8E,7.4,Álex de la Iglesia,comedy crime horror mystery thriller
hamlet,2000,"New York, 2000. A specter in the guise of the newly-dead CEO of Denmark Corporation appears to Hamlet, tells of murder most foul, demands revenge, and identifies the killer as Claudius, the new head of Denmark, Hamlet's uncle and now step-father. Hamlet must determine if the ghost is truly his father, and if Claudius did the deed. To buy time, Hamlet feigns madness; to catch his uncle's conscience, he invites him to watch a film he's made that shows a tale of murder. Finally convinced of Claudius's guilt, Hamlet must avenge his father. Claudius now knows Hamlet is a threat and even uses Ophelia, Hamlet's love, in his own plots against the young man. Murder will out?",modern day new york city adaptation shakespeare immortal story hamlet plight avenge father murder,drama romance thriller,tt0171359,F39CYBE6-Kg,6.0,Michael Almereyda,drama romance thriller
beyond re-animator,2003,"Everyone's favorite mad scientist Herbert West is currently in jail after having state's evidence turned against him by his former assistant, Dan Cain. While being led away, some re-agent falls from his pocket where it is picked up by a young man who was camping nearby. The young man finds Herbert down in his jail cell and learns for himself just what the re-agent is capable of.",everyone favorite mad scientist herbert west currently jail state evidence turned former assistant dan cain led away agent,comedy horror sci-fi,tt0222812,fWZT-faP7Oc,5.9,Brian Yuzna,comedy horror sci-fi
pina,2011,"In modern dance since the 1970s, few choreographers have had more influence in the medium than the late Pina Bausch. This film explores the life and work of this artist of movement while we see her company perform her most notable creations where basic things like water, dirt and even gravity take on otherworldly qualities in their dancing.",tribute late german choreographer pina bausch dancer perform famous creation,documentary,tt1440266,F-cV74Mq7KU,7.7,Wim Wenders,documentary
the tag-along,2015,Based on true events and long-circulating urban legend in Taiwan. Wei is nowhere to be found one day before his grandma returns from her own strange missing incident. Wei's girlfriend desperately searches for his whereabouts and finds that it is the horrifying mystery of the little girl in red that has followed and haunted them all along.,story video group people going hiking mysterious little girl red dress following,horror thriller,tt5078188,CMiX8FDLdoU,5.3,Wei-Hao Cheng,horror thriller
rent-a-cat,2012,A single woman runs a rent-a-cat service to provide companions for lonely people.,single woman run rent cat service provide companion lonely people,comedy drama,tt2246953,ujAmNgVoKYE,6.6,Naoko Ogigami,comedy drama
under suspicion,2000,"A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. This will only take ten minutes, they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer...",lawyer asked come police station clear loose end witness report foul murder take ten minute say turn one,crime drama thriller,tt0164212,gyPkbZ_kmEg,6.5,Stephen Hopkins,crime drama thriller
upgrade,2018,"Set in the near-future, technology controls nearly all aspects of life. But when Grey, a self-identified technophobe, has his world turned upside down, his only hope for revenge is an experimental computer chip implant called Stem.",set near future technology control nearly aspect life grey self identified technophobe world turned upside hope revenge experimental computer chip implant called stem,action horror sci-fi thriller,tt6499752,1hTLGlgZ4Z8,7.7,Leigh Whannell,action horror sci-fi thriller
gatao 2: rise of the king,2018,"Ren has finally succeeded his boss as the head of the North Fort Gang. For so long, his ambitions had been held back; now, he can realize them. But the ruthless Jian returns with his own gang. Though Ren and Jian were once like brothers, Ren's position is challenged, causing tensions with Qing, his loyal captain. Now that former friends are enemies, what is the price of loyalty? What will be left of friendship when the smoke of battle clears?",ren finally succeeded bos head north fort gang long ambition held back realize ruthless jian return,uncategorized,tt8324576,O-7s-4bK9PQ,5.9,Cheng-Kuo Yen,uncategorized
the messengers,2007,"It's been six years since the Rollins family just up and left and now the troubled Solomon family has come from Chicago, to rebuild their lives following their sons hospitalization due to their daughter's drunk driving accident. But as they start to settle in something odd and strange begins to occur to their son. Could something supernatural be at work, and did the previous family just leave...or are they still here? Trapped in the only place they've ever known? And what did cause their deaths? Most of all...is this 'killer' still very much alive?",ominous darkness invades seemingly serene sunflower farm north dakota solomon family torn apart suspicion mayhem murder,uncategorized,tt0425430,22XGp20H-A4,5.4,Danny Pang,uncategorized
court,2014,"A sewerage worker's dead body is found inside a manhole in Mumbai. An ageing folk singer is tried in court on charges of abetment of suicide. He is accused of performing an inflammatory song which might have incited the worker to commit the act. As the trial unfolds, the personal lives of the lawyers and the judge involved in the case are observed outside the court.",aging activist arrested life accused lawyer judge intertwine reveal bigotry underscore judicial system,uncategorized,tt3717068,RpyfGqJ0uII,7.7,Chaitanya Tamhane,uncategorized
zama,2017,"Based on the novel by Antonio Di Benedetto written in 1956, on Don Diego de Zama, a Spanish officer of the seventeenth century settled in Asunción, who awaits his transfer to Buenos Aires.",based novel antonio benedetto written 1956 diego zama spanish officer seventeenth century settled asunci awaits transfer buenos aire,drama,tt3409848,K8dW6YHINAA,6.8,Lucrecia Martel,drama
vampire cleanup department,2017,"In contemporary Hong Kong, typical young generation Tim Cheung joins the Vampire Cleanup Department team which is a special and secret task force for dealing Chinese vampire Goeng Si. During the operation he is instructed by his uncle Chau of the team senior officer, and finally he saves a female Goeng Si, Summer from her master evil lord Goeng Si who buried alive her in the feudalistic era.",tim cheung join vampire cleanup department secret task force dealing chinese vampire goeng instructed uncle chau save female goeng summer evil lord goeng buried alive,action comedy horror,tt6270524,dUELA8MILtM,6.3,Sin-Hang Chiu,action comedy horror
easy living,2017,"Sherry, a self-destructive makeup saleswoman, hopes a new man and business venture will provide her a fresh start. After her plans are foiled, she takes control of her life in a dramatic turn of events.",sherry self destructive makeup saleswoman hope new man business venture provide fresh start plan foiled take control life dramatic turn event,comedy drama thriller,tt5067958,-4mTeCBdDCI,5.1,Adam Keleman,comedy drama thriller
cheaper by the dozen 2,2005,"The Bakers, while on vacation, find themselves competing with a rival family of eight children.",baker vacation find competing rival family eight child,adventure comedy family,tt0452598,OnLlLwEflHI,5.5,Adam Shankman,adventure comedy family
confessions of a brazilian call girl,2011,"Raquel is a girl, adopted by an upper middle class family, who rebelled at 17 and left her family and studies at a traditional college in São Paulo to become a call girl. Shortly after starting work, she decided to write a blog about her experiences. Since some clients thought she looked like a surfer she adopted the name ""Surfistinha"" which means little surfer girl. This blog became a sensation, and quickly became one of the most popular blogs in Brazil. Becoming famous, her life changed significantly. She went on to be interviewed on Brazilian talk shows similar to Oprah and David Letterman, all the while continuing her blog about her racy exploits. She wrote a book about these experiences: ""O Doce Veneno Do Escorpião"".",adoptive daughter stable family leaf new life prostitute rise become popular performer among client detail routine blog,biography drama,tt1587828,6Yjgquu8FoU,6.1,Marcus Baldini,biography drama
book club,2018,Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.,four lifelong friend life forever changed reading shade grey monthly book club,comedy drama romance,tt6857166,LDxgPIsv6sY,6.2,Bill Holderman,comedy drama romance
tag,2018,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",small group former classmate organize elaborate annual game tag requires travel country,comedy,tt2854926,kjC1zmZo30U,6.8,Jeff Tomsic,comedy
the princess diaries,2001,"Mia Thermopolis is the average teenager - sweet, a little geeky and pretty much invisible to everyone with the exception of her mother, best friend Lilly and Lilly's older brother Michael. Making it through high school without throwing up is a challenge in itself for Mia, so it doesn't come as welcome news when her estranged grandmother shows up out of the blue and calmly informs her that she is in fact the heir to the throne of a European country called Genovia. Suddenly Mia's life is thrown into complete overload. She's being taught about scarves, waves and pears in order to become a perfect princess, she gets a makeover and a tough looking yet sweet bodyguard/limo driver called Joe. Things get out of hand when the media gets a hold of the story and suddenly Mia is thrust into the spotlight in both the newspapers and in school. On top of all that Mia has a choice to make. She must decide by Genovia's Independence Day Ball whether she longs to relinquish her claim on the throne or to...",mia thermopolis found heir apparent throne genovia friend lilly michael moscovitz tow try navigate rest sixteenth year,comedy family romance,tt0247638,2CkcwPi20ms,6.3,Garry Marshall,comedy family romance
march of the penguins,2005,"At the end of each Antarctic summer, the emperor penguins of the South Pole journey to their traditional breeding grounds in a fascinating mating ritual that is captured in this documentary by intrepid filmmaker Luc Jacquet. The journey across frozen tundra proves to be the simplest part of the ritual, as after the egg is hatched, the female must delicately transfer it to the male and make her way back to the distant sea to nourish herself and bring back food to her newborn chick.",antarctic every march since beginning time quest begin find perfect mate start family,documentary family,tt0428803,JZWt5YkhVp8,7.6,Luc Jacquet,documentary family
a silent voice,2016,"The story revolves around Nishimiya Shoko, a grade school student who has impaired hearing. She transfers into a new school, where she is bullied by her classmates, especially Ishida Shouya. It gets to the point where she transfers to another school and as a result, Shouya is ostracized and bullied himself, with no friends to speak to and no plans for the future. Years later, he sets himself on a path to redemption.",young man ostracized classmate bully deaf girl point move away year later set path redemption,animation drama family romance,tt5323662,twUSlecQpGQ,8.2,Naoko Yamada,animation drama family romance
the son of bigfoot,2017,"Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!",teenage boy journey find missing father discover actually bigfoot,animation comedy family fantasy,tt5715410,TKNYU_M6O5Y,6.1,Jeremy Degruson,animation comedy family fantasy
the princess diaries 2: royal engagement,2004,"Princess Mia has just turned 21 and is supposed to succeed her grandmother as the Queen of Genovia. But Viscount Mabrey who wishes that his nephew who is also in line to the throne to be the new ruler, reminds everyone of a law that states that an unmarried woman can't be made queen, and with the backing of parliament, he opposes Mia's coronation. But Queen Clarice asks that Mia be allowed time to find a husband, and she is given 30 days. But Mabrey tries to do what he can to stop that. But his nephew, Nicholas has met Mia and they are both attracted to each other but Mia upon learning who he is, dislikes and doesn't trust him but Clarice has invited him to stay with them for the 30 day period to keep an eye on him.",settled genovia princess mia face new revelation primed arranged marriage english suitor,comedy family romance,tt0368933,iemU7EUQgmo,5.8,Garry Marshall,comedy family romance
strange magic,2015,"""Strange Magic,"" a new animated film, is a madcap fairy tale musical inspired by ""A Midsummer Night's Dream."" Popular songs from the past six decades help tell the tale of a colorful cast of goblins, elves, fairies and imps, and their hilarious misadventures sparked by the battle over a powerful potion.",goblin elf fairy imp misadventure sparked battle powerful potion,adventure animation comedy family fantasy,tt4191054,Xr9iLfD6xus,5.8,Gary Rydstrom,adventure animation comedy family fantasy
